ID,Nombre,URL YouTube / Origen,Motivo del Fallo
714,"Bad Bunny, Omar Courtz, Dei V - VeLDÁ",https://www.youtube.com/watch?v=yIQ2VtGPt_E,YouTube rate-limited (Too many requests / IP blocked temporarily)
709,"Dupla, Raimundo el Canastero - Fandango Nasty",https://www.youtube.com/watch?v=dw57k96D7oQ,YouTube rate-limited (Too many requests / IP blocked temporarily)
708,Kaparrak - Loretxoa,https://www.youtube.com/watch?v=Hi0cHvALLsY,YouTube rate-limited (Too many requests / IP blocked temporarily)
707,Sully Riot - Lokaleko Leihotik,https://www.youtube.com/watch?v=bEZOO1a4luI,YouTube rate-limited (Too many requests / IP blocked temporarily)
706,Kaparrak - Galtzaile,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
704,Hemendik At - Goazen,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
702,Rauw Alejandro - CORAZÓN DESPEINADO,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
701,Fuego - Mambo para Bailar,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
700,"Metrika, Came Beats - CONEJITA PLAYBOY",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
699,"Emilia, TINI, Nicki Nicole - blackout 🧊",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
698,Bad Bunny - Enséñame a Bailar,https://www.youtube.com/watch?v=eopPKANmKyg,YouTube rate-limited (Too many requests / IP blocked temporarily)
697,"Bad Bunny, Bomba Estéreo - Ojitos Lindos",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
696,Quevedo - SCANDIC,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
695,"Vilu Gontero, Julieta SW - Capaz vs We Found Love (Mashup DJ Remix)",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
694,Emilia - Exclusive.mp3,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
693,"LA TXAMA, ENE - ZURE BEGIAK - Zuzenean",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
691,"Quevedo, Nueva Línea - AL GOLPITO",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
689,Daddy Yankee - Salgo Pa' la Calle,https://www.youtube.com/watch?v=aXdfSK3seLM,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
688,Ozuna - Te Soñe de Nuevo,https://www.youtube.com/watch?v=eKaD_-Tl544,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
664,Arene 6 - Biharra izan,,No valid candidate found (All search results failed verification rules)
590,Non Servium - 'A.C.A.B.' NON SERVIUM [El rodillo del kaos],https://www.youtube.com/watch?v=CNbSZjGNdVY,No valid candidate found (All search results failed verification rules)
568,"Mushkaa, Bad Gyal, Bexnil - SexeSexy",https://www.youtube.com/watch?v=QJ5NO6C_wPk,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
565,Mirua - Salda Badago,https://www.youtube.com/watch?v=zzOY2Yf3FDQ,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
564,Rihanna - Work,https://www.youtube.com/watch?v=puxjq3p-fU0,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
563,Mirua - Zazpiak Bat,https://www.youtube.com/watch?v=maHhRO7EiOs,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
561,"METRIKA - Lip Combo | METRIKA, D.Basto, L0rna",https://www.youtube.com/watch?v=AujT1GYm9Jo,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
560,Samantha Hudson - Full Lace y el Tuck,https://www.youtube.com/watch?v=rcCfK7D5UsM,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
553,Tanxugueiras - Terra,https://www.youtube.com/watch?v=2JnP0s6DNHg,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
552,LaBlackie - Costilla De Raxet,https://www.youtube.com/watch?v=9BgkQB5Q1RU,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
551,LaBlackie - Violence,https://www.youtube.com/watch?v=JTnkIHWb6uQ,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
457,"Demarco Flamenco, Juan Magán, Maki - La Isla del Amor - Remix",https://www.youtube.com/watch?v=-t3T0l14OhM,YouTube rate-limited (Too many requests / IP blocked temporarily)
456,"KAROL G, Nicki Minaj - Tusa",,No valid candidate found (All search results failed verification rules)
455,"Tom Boxer, Morena, J Warner - Deep In Love - Radio Edit",https://www.youtube.com/watch?v=0HRNn5H10-0,YouTube rate-limited (Too many requests / IP blocked temporarily)
454,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton - Can't Hold Us (feat. Ray Dalton)",https://www.youtube.com/watch?v=96L5sV7rqX0,YouTube rate-limited (Too many requests / IP blocked temporarily)
453,Fly Project - Musica - Radio Edit,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
452,"Timmy Trumpet, Savage - Freaks - Radio Edit",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
451,"Marshmello, Manuel Turizo - El Merengue",https://www.youtube.com/watch?v=Q37PMPR9Om0,YouTube rate-limited (Too many requests / IP blocked temporarily)
449,TINI - Cupido,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
450,Manuel Turizo - La Bachata,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
448,"ZETAK, Bomba Estéreo - Zoriontasuna (La vida es de verdad)",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
446,"Charli xcx, Bb trickz - Club classics featuring bb trickz",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
447,Rauw Alejandro - Tú Con Él,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
445,"Bengo, Mon Dvy - Hemengatxik",https://www.youtube.com/watch?v=fVd-pdfo6fs,YouTube rate-limited (Too many requests / IP blocked temporarily)
444,Zilibito Records - malibu,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
443,"Fane, Denso, Chickjuarez - Loco",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
440,"Charli xcx, Billie Eilish - Guess featuring billie eilish",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
441,Dover - Let Me Out,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
439,Xiberoots - Ze Lüze,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
437,Hannah Montana - Nobody's Perfect,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
438,Xiberoots - Honki Jina,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
417,"XXIRRI, Saim Mendi, Raperu - GUAU",,No valid candidate found (All search results failed verification rules)
371,"Malakias, Potato - Rula - Malakias remixe",,No valid candidate found (All search results failed verification rules)
313,"Chill Mafia Records, Kiliki, Ben Yart, LaJoyeria - No Se K Me Pasa",https://www.youtube.com/watch?v=wSe0ksCwuqQ,ERROR: Did not get any data blocks
312,The Uski’s - Horrelako,https://www.youtube.com/watch?v=_fD-t2f4JWM,ERROR: Did not get any data blocks
309,"Parkineos, Plasaporros - Puxero - Remix",https://www.youtube.com/watch?v=2NifU4IPVSw,YouTube rate-limited (Too many requests / IP blocked temporarily)
305,"Metrika, D.Basto - El Grimorio",https://www.youtube.com/watch?v=5BwEimHlK6Y,YouTube rate-limited (Too many requests / IP blocked temporarily)
301,"LA TXAMA, FlakoFonki - Fusilaren Hotsa",https://www.youtube.com/watch?v=9gBPu-BU0jQ,YouTube rate-limited (Too many requests / IP blocked temporarily)
300,"Bad Gyal, Rema - 44",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
299,LaBlackie - Costilla de Raxet,https://www.youtube.com/watch?v=K0a9YVHEMRI,YouTube rate-limited (Too many requests / IP blocked temporarily)
298,Luna Ki - Voy a Morir,https://www.youtube.com/watch?v=W3Sh7aATmVw,YouTube rate-limited (Too many requests / IP blocked temporarily)
297,"Seferolh, Albany - Me exhan del pary RMX",https://www.youtube.com/watch?v=R0uRPuRlqHc,YouTube rate-limited (Too many requests / IP blocked temporarily)
295,"Dahabflex, Erzin - Rot",https://www.youtube.com/watch?v=GAGZKcOizM8,YouTube rate-limited (Too many requests / IP blocked temporarily)
294,Chill Mafia Records - Bedeinkatua,,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
292,"Metrika, D.Basto - PERRA",,YouTube rate-limited (Too many requests / IP blocked temporarily) | No valid candidate found (All search results failed verification rules)
293,"Metrika, D.Basto - DEMONIO ALBINO",,No valid candidate found (All search results failed verification rules)
286,"SÜNE, Huntza - Kantauri",https://www.youtube.com/watch?v=r84z7EgLN3o,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
285,"Castion, Martina Camargo - El Amor - Radio Edit",https://www.youtube.com/watch?v=3Bw9ivpDsuY,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
284,DJ Katch - QUIZUMBA,https://www.youtube.com/watch?v=MM1QJqXo-84,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
283,"Myke Towers, benny blanco - DEGENERE 👑 (feat. benny blanco)",https://www.youtube.com/watch?v=b9Scf4L_Jlo,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
281,KAROL G - AMARGURA,https://www.youtube.com/watch?v=fEWhm_TVvUw,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
282,Bad Bunny - DtMF,https://www.youtube.com/watch?v=TiebZllW8As,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
280,"Bizarrap, Luck Ra - Luck Ra: Bzrp Music Sessions, Vol. 61/66",https://www.youtube.com/watch?v=ImGDE-rElVg,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
279,Cactus - A la Valenciana,https://www.youtube.com/watch?v=qAZKJOf16OQ,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
278,"Jovani, Chris Crone - I'll Fly With You (L'Amour Toujours)",https://www.youtube.com/watch?v=OXDjXhYylx8,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
277,"Becky G, Omega - Arranca (feat. Omega)",https://www.youtube.com/watch?v=Vyn8Fl97vdA,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
276,"Luck Ra, BM - La Morocha",https://www.youtube.com/watch?v=E-sSJwncEng,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
274,Shakira - Soltera,https://www.youtube.com/watch?v=oC3pVeJraUo,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
275,Bad Bunny - Moscow Mule,https://www.youtube.com/watch?v=NBghhjuMNKM,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
273,"Ofenbach, Norma Jean Martine - Overdrive (feat. Norma Jean Martine)",https://www.youtube.com/watch?v=1sM89qLmd9Y,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
272,"Raimundo el Canastero, La wera - Bizitzeko Gogoa",https://www.youtube.com/watch?v=LIzxbuA1qrA,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
271,Picco - Venga - Radio Edit,https://www.youtube.com/watch?v=I_2Q4FJvdjg,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
270,Figa Flawas - MUSSEGU,https://www.youtube.com/watch?v=2Kvy7BgpZYQ,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
269,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK - Los del Espacio",https://www.youtube.com/watch?v=KA5kg145WAg,HTTP Error 403: Forbidden (Signature/Decryption issue or Blocked)
